REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Rondônia,RO,1961-07-02,19.88358831314116,32.2548275237959,2023.4566931550653
Serrana de Itiruçu/Brejões,BA,1961-07-02,17.681796839070874,27.46353994413864,476.7065078380496
Serrana do Rio de Janeiro,RJ,1961-07-02,15.332600107379989,27.01600617053462,1568.9446566712622
Sul de Minas,MG,1961-07-02,14.12515776977539,26.701760586547852,1434.8453736328124
Sul do Rio de Janeiro,RJ,1961-07-02,15.980589230855307,27.986568548740486,1545.8866545848357
Acre,AC,1962-07-02,20.22577084488605,30.291707954215045,1950.5607822744091
Alta Mogiana,SP,1962-07-02,14.848895599102152,26.99202688809099,1754.7481584220097
Atlântico Baiano,BA,1962-07-02,19.588142168576315,27.60139505395062,1143.2444817529965
Campo das Vertentes,MG,1962-07-02,14.025090610279756,25.5161449768964,1744.0311476763557
Caparaó,ES,1962-07-02,14.276458205246344,24.403988024083578,1635.7559070121952
Ceará,CE,1962-07-02,19.758637958102756,30.889809907084764,1013.6868002535117
Cerrado Mineiro,MG,1962-07-02,15.437739472951948,28.06202152599706,1811.2878872889169
Chapada Diamantina,BA,1962-07-02,16.07603325542464,27.21730196786193,741.4575887346799
Chapada de Minas,MG,1962-07-02,16.273350770617718,28.251992381085703,1106.871701495079
Conilon Capixaba,ES,1962-07-02,19.978219932980007,27.500298058545148,1189.4406613950375
Goiás,GO,1962-07-02,16.360841619451776,29.236220330717476,1770.026674420646
Mantiqueira de Minas,MG,1962-07-02,12.335899316347563,24.798543673295242,1677.744180532602
Marília e Garça,SP,1962-07-02,15.281459045410156,28.756270938449436,1374.6142957899306
Matas de Minas,MG,1962-07-02,14.921801827170633,25.846405029296875,1590.482760769504
Matas de Rondônia,RO,1962-07-02,19.64934331368709,31.93984015091606,2055.4727273692256
Mato Grosso,MT,1962-07-02,19.558916325226406,31.7773328771507,2148.4449830025173
Montanhas de Minas,MG,1962-07-02,15.584242370791902,26.507369557717688,1647.025489290854
Montanhas do Espírito Santo,ES,1962-07-02,15.847115631103515,24.713844985961913,1517.7832649739582
Média Mogiana,SP,1962-07-02,13.289311025453651,25.698557314665422,1618.83679464589
Noroeste/Norte do Rio de Janeiro,RJ,1962-07-02,17.923685846449455,27.918411761899538,1428.2204613021656
Norte Pioneiro do Paraná,PR,1962-07-02,13.90287485190317,27.3934311832942,1137.8023365643007
Norte e Noroeste de Minas,MG,1962-07-02,16.283069645916974,29.485935352466726,1597.3440879539207
Oeste da Bahia,BA,1962-07-02,16.39665580178327,30.526344199869083,1120.824726043538
Ourinhos e Avaré,SP,1962-07-02,14.232092119032338,26.59906760595178,1333.292026314684
Paraná,PR,1962-07-02,14.51009297057202,27.204173084936645,1417.1859399895918
Pernambuco,PE,1962-07-02,17.640259507986215,28.646738697932317,825.579538668119
Pinhal,SP,1962-07-02,13.789007883805494,25.950029446528507,1647.4900277944712
Planalto Central,DF,1962-07-02,14.480953764032435,27.336138089497883,1736.196512858073
Planalto de Vitória da Conquista,BA,1962-07-02,16.54429967361584,27.77889597206785,625.4903061180784
Rondônia,RO,1962-07-02,19.866408510385074,32.146808845144164,2102.4128852204794
Serrana de Itiruçu/Brejões,BA,1962-07-02,17.656875732333162,27.534873674082203,591.0221763433412
Serrana do Rio de Janeiro,RJ,1962-07-02,14.477212513194365,25.41006626802332,1657.5507357728247
Sul de Minas,MG,1962-07-02,13.43219570236206,25.38842820739746,1797.376478515625
Sul do Rio de Janeiro,RJ,1962-07-02,15.010587692260742,26.2208196688921,1628.7895132211538
Acre,AC,1963-07-02,19.803750421533632,30.58203226597465,1819.005089074523
Alta Mogiana,SP,1963-07-02,15.816722080625336,29.373153324784905,795.1037766029095
Atlântico Baiano,BA,1963-07-02,19.392144460111993,27.96617777053624,1095.3622871294413
Campo das Vertentes,MG,1963-07-02,14.34950998250176,27.838391500360824,723.9469344195197
Caparaó,ES,1963-07-02,14.430331509287765,26.14558927024283,641.6901572622904
Ceará,CE,1963-07-02,19.410651486329357,30.26213459053425,1327.683849604443
Cerrado Mineiro,MG,1963-07-02,16.06669903887478,30.16108804706708,677.8628023830753
Chapada Diamantina,BA,1963-07-02,15.510600958614987,26.87352764739423,752.1030026120324
Chapada de Minas,MG,1963-07-02,15.569200370489915,29.711749085667293,467.1624511935957
Conilon Capixaba,ES,1963-07-02,19.96430450015598,28.546044208385325,564.0970235753942
Goiás,GO,1963-07-02,16.611405897676274,30.786384769274374,899.775130613275
Mantiqueira de Minas,MG,1963-07-02,12.424592054807222,26.85285212443425,792.1639944223257
Marília e Garça,SP,1963-07-02,16.421592648824056,30.899425506591797,873.656780327691
Matas de Minas,MG,1963-07-02,14.981556712330638,27.859230388294566,464.2124049046657
Matas de Rondônia,RO,1963-07-02,19.671341445480568,32.68207640716995,1638.541661005435
Mato Grosso,MT,1963-07-02,19.35631378361436,32.65659353080644,1694.1839431820422
Montanhas de Minas,MG,1963-07-02,15.760141616477107,28.723245265788602,533.5499910627093
Montanhas do Espírito Santo,ES,1963-07-02,16.065317459106446,26.105789337158203,718.6088977050781
Média Mogiana,SP,1963-07-02,14.46255612373352,28.059968264206596,944.6209259033203
Noroeste/Norte do Rio de Janeiro,RJ,1963-07-02,18.120457842380187,29.69120566452606,548.196537452408
Norte Pioneiro do Paraná,PR,1963-07-02,14.96603037786822,29.38586385199364,1107.3081245151818
Norte e Noroeste de Minas,MG,1963-07-02,16.842597325642902,31.717409434141935,663.909967634413
Oeste da Bahia,BA,1963-07-02,15.842613838573191,31.12429556872118,698.980346434894
Ourinhos e Avaré,SP,1963-07-02,15.438335213609921,28.863807432113155,987.7159784788727
Paraná,PR,1963-07-02,15.516807885546433,28.62679899679987,1404.9928331877056
Pernambuco,PE,1963-07-02,18.189116111168495,28.328499720646786,969.9344501201923
Pinhal,SP,1963-07-02,14.971225995283861,28.268594301663914,1036.5079721304087
Planalto Central,DF,1963-07-02,16.100722153981526,28.881184260050457,947.7340766059028
Planalto de Vitória da Conquista,BA,1963-07-02,16.24857554937664,27.948651723694383,609.8779330337256
Rondônia,RO,1963-07-02,19.916575785104236,32.82952462048082,1635.1405538508927
Serrana de Itiruçu/Brejões,BA,1963-07-02,17.321610605993936,27.027810850808788,804.3358502055323
Serrana do Rio de Janeiro,RJ,1963-07-02,14.509187698364258,27.567907969156902,794.7808921664368
Sul de Minas,MG,1963-07-02,13.808950005340575,27.628170562744142,760.8535538574218
Sul do Rio de Janeiro,RJ,1963-07-02,15.32470825390938,28.291924598889473,809.7979501577524
Acre,AC,1964-07-01,19.75119001062671,30.08222136665229,2321.0309943577754
Alta Mogiana,SP,1964-07-01,15.246051475919526,26.76106364151527,1514.7960773336476
